Timestamp,Machine_ID,Vibration,Temperature,Status
2025-01-23 13:33:48.617183,CNC-001,1.68,43.6,Normal
2025-01-23 13:33:48.617183,CNC-002,1.14,45.7,Normal
2025-01-23 13:33:48.617183,PRESS-101,2.38,47.2,Normal
2025-01-23 13:33:48.617183,LATHE-55,1.69,41.4,Normal
2025-01-23 14:33:48.617183,CNC-001,2.07,64.9,Normal
2025-01-23 14:33:48.617183,CNC-002,1.17,64.7,Normal
2025-01-23 14:33:48.617183,PRESS-101,1.33,48.0,Normal
2025-01-23 14:33:48.617183,LATHE-55,0.55,44.1,Normal
2025-01-23 15:33:48.617183,CNC-001,2.71,50.5,Normal
2025-01-23 15:33:48.617183,CNC-002,1.59,64.9,Normal
2025-01-23 15:33:48.617183,PRESS-101,1.28,59.2,Normal
2025-01-23 15:33:48.617183,LATHE-55,0.6,45.1,Normal
2025-01-23 16:33:48.617183,CNC-001,1.03,55.7,Normal
2025-01-23 16:33:48.617183,CNC-002,1.38,61.7,Normal
2025-01-23 16:33:48.617183,PRESS-101,0.59,53.8,Normal
2025-01-23 16:33:48.617183,LATHE-55,1.99,45.8,Normal
2025-01-23 17:33:48.617183,CNC-001,2.76,44.6,Normal
2025-01-23 17:33:48.617183,CNC-002,2.93,51.4,Normal
2025-01-23 17:33:48.617183,PRESS-101,1.75,48.8,Normal
2025-01-23 17:33:48.617183,LATHE-55,1.24,48.0,Normal
2025-01-23 18:33:48.617183,CNC-001,1.88,59.2,Normal
2025-01-23 18:33:48.617183,CNC-002,2.37,59.6,Normal
2025-01-23 18:33:48.617183,PRESS-101,1.9,40.1,Normal
2025-01-23 18:33:48.617183,LATHE-55,1.54,54.5,Normal
2025-01-23 19:33:48.617183,CNC-001,1.44,45.1,Normal
2025-01-23 19:33:48.617183,CNC-002,1.28,56.3,Normal
2025-01-23 19:33:48.617183,PRESS-101,2.53,45.5,Normal
2025-01-23 19:33:48.617183,LATHE-55,2.99,56.3,Normal
2025-01-23 20:33:48.617183,CNC-001,2.53,49.5,Normal
